datahora;assunto;link;texto_complementar
2026-04-19-06-10-44;Em Tudo, Deus Tem um Propósito ;https://youtube.com/shorts/MepJ0uQx3nA?si=P3F_Na9AaIzWOfyB;
2026-04-19-05-56-31;Como a ciência da aprendizagem pode te ajudar a aprender mais?;https://youtube.com/shorts/LObe19rCzYQ?si=H10zM9BJ-j16-Ld7;aula
2026-04-19-05-56-55;One More Night In Nashville;https://youtu.be/lqhYh7-htN8?si=IaOSZUyfNc6R_xxS;
2026-04-19-05-57-22;É ASSIM QUE O CRIADOR DO WHATSAPP FOI DO BOLSA FAMÍLIA PARA US$ 19 BILHÕES 🤯;https://youtube.com/shorts/cxOGoplX1kg?si=XSaanoh6ywse9ZHX;
2026-04-19-06-33-45;Principal limitação da IA pode ter sido superada | Pena;https://youtu.be/iPkSS-znyEM?si=xNbpX5dQK7J02Im-;
2026-04-19-06-34-09;Uma multa de US 40 criou um império de US 402 bilhões.;https://youtube.com/shorts/12MA5s3idDA?si=OmEC2svX2d-fA48j;
2026-04-19-06-34-35;Medo do rastro digital faz usuários abandonarem redes sociais;https://youtu.be/JgxewUUaisg?si=WPLzzA88jbfYhytU;
2026-04-19-06-34-59;FÁBRICA DE MÉDICOS QUE ESTÁ QUEBRANDO A MEDICINA NO BRASIL;https://youtu.be/CoO8r8SBWUo?si=2_6xEEsKD8BIEo5B;
2026-04-19-06-35-16;É assim que a Inteligência Artificial pode destruir a humanidade?;https://youtu.be/oTptR7O0KNI?si=Wv-6ecWM5UwjXGND;
2026-04-19-06-41-43;REVOLUÇÃO DA IA PODE QUEBRAR O MERCADO;https://www.youtube.com/watch?v=FbYxVWNKCN8;
2026-04-19-06-43-38;Como a Noruega Se Tornou O País Mais Rico do MUNDO?;https://www.youtube.com/watch?v=IbX8Vv9NslA;
2026-04-19-06-49-53;Inteligência Artificial Geral: IA superinteligente está chegando?;https://www.youtube.com/watch?v=cdzV5oCBIqg;
2026-04-19-06-51-49;o que IAs NÃO SABEM fazer;https://youtu.be/LDk0GKNw21g;
2026-04-19-06-54-48;Futuro da internet está mudando e a culpa é da IA;https://www.youtube.com/watch?v=lsD3pkcxQqE&t=17s;
2026-04-19-06-55-16;Nós precisamos conversar sobre DATA CENTERS;https://youtu.be/H-oUbF5M7Mk;
2026-04-20-05-15-02;Princípios da Memorização Como Memorizar Qualquer Coisa;https://youtu.be/hhpbpw0FcdE;
2026-04-20-05-16-21;O truque do silêncio: por que tampões de ouvido podem TURBINAR seu foco;https://youtu.be/mTamzLQe-kY?si=wZNkOQV-fdLyrxO3;
2026-06-21-06-53-42;O Gênio que descobriu o maio problema Humano - Blaise Pascal;https://youtube.com/shorts/IH5PA4Hf9Wk?is=QpIsQDcpiSu4fy0t;
2026-06-21-06-54-11;Motor de Fusca Boxer engenharia, carburador? elétrico? automático? ou bom mesmo?;https://youtube.com/shorts/7F0zROPrs5s?is=qV9-nq6Zq0p6fMUS;
2026-06-21-06-54-29;O Brasil está virando território chines no YouTube;https://youtube.com/shorts/9UQlcgTWFng?is=-6p4xVRdRN2DF4vI;
2026-06-21-06-55-06;Por que os alunos de Computação estão reprovando tanto?;https://youtube.com/shorts/WeqZwVXYbw0?is=jK639WM62Z1YztO3;
2026-06-21-06-55-22;62% das Torradas Caem Viradas Não é Azar;https://youtube.com/shorts/QRgvzUVW9bQ?si=bNtWB6E0JXqMq8TP;
2026-06-21-06-55-36;Enem: Segredo dos Aprovados 1º Lugar Revelado!;https://youtube.com/shorts/1oaehwd7abE?si=bSNZm8DBpmBBdYIh;
2026-06-21-06-55-52;O T800 chinês;https://youtube.com/shorts/KOLibginUvU?si=KcuQ0eKeS1E4sYxT;
2026-06-21-06-56-43;Esse Doce Não MEDIU Força MEDIU Renda;https://youtube.com/shorts/1WnCW_EYMFQ?si=o-F5Xd74NC78XKXw;
2026-06-21-06-56-58;Cego, Ele CRIOU o Algoritmo do Google;https://youtube.com/shorts/WQBEYasuAmU?si=49OD7vG7eU_i1zaO;
2026-06-21-06-57-11;Seu filho joga algum desses jogos?;https://youtube.com/shorts/l19j4NDZlag?si=yfL8OFAEJIOZJh6Q;
2026-06-21-06-57-26;Como Fazer Estacas de Concreto e Mourão Gastando Pouco/Faça Você Mesmo/Passo a Passo/Sítio Pequeno  no YouTube;https://youtu.be/1BqCiK2xi6c?si=tLSbdg_KXWHVpwmP;
2026-06-21-06-57-39;A TRÁGICA HISTÓRIA DE VIDA DE DEMI MOORE no YouTube;https://youtu.be/5ENxzbycpug?si=NtNieniBuCoaI92l;
2026-06-21-06-57-56;O Espírito Santo Guia Seus Filhos: Como Reconhecer a Direção de Deus | Luciano Subirá;https://youtu.be/7TiLrT3Hsgw?si=lJqRuzVTQUsaXHbM;
2026-06-21-06-58-09;Pombos não entrega carta no YouTube;https://youtube.com/shorts/so29xcny6EY?si=axyfTzFeHpBdRdKe;
2026-06-21-06-58-24;GEELY TRANSFORMOU de piada da indústria para MAIOR ACIONISTA da MERCEDES;https://youtube.com/shorts/5DS3OX391uI?si=NycedYTAkfwKv3Yg;
2026-06-21-06-58-36;420 Linhas ENGANARAM Mais que o ChatGPT no YouTube;https://youtube.com/shorts/ldWfr_vnlrc?si=sBjFDP8rSaAkXRo7;
2026-06-21-06-58-49;5 CÓDIGOS SECRETOS do ChatGPT que MUDAM completamente o jogo. no YouTube;https://youtube.com/shorts/oZM9Iiifh28?si=jImHhAeUe8Mo-MnO;
